model,variant,accuracy_mean,accuracy_std,DPD_mean,DPD_std,EOD_mean,EOD_std
LogisticRegression,base,0.8125925925925926,0.0,0.0,0.0,0.0,0.0
LogisticRegression,mitigated,0.8125925925925926,0.0,0.0,0.0,0.0,0.0
NeuralNet,base,0.8089629629629629,0.0038167920082927873,0.004128397853187862,0.0016943894738723512,0.007174225756374624,0.005369376417202456
NeuralNet,mitigated,0.8124444444444444,0.00035621081595695216,0.0006756756756756757,0.0007978862623731452,0.001625697481526165,0.002252882007068606
RandomForest,base,0.8091481481481482,0.0011233889546743,0.0034392934000193566,0.0018072419541599815,0.007019389798595496,0.0023113951182394967
RandomForest,mitigated,0.8125925925925926,0.0,0.0,0.0,0.0,0.0
