model,metric,base_mean,mitigated_mean,mean_diff_mitigated_minus_base,t_stat,p_value
LogisticRegression,DPD,0.0,0.0,0.0,,
LogisticRegression,EOD,0.0,0.0,0.0,,
LogisticRegression,accuracy,0.8125925925925926,0.8125925925925926,0.0,,
NeuralNet,DPD,0.004128397853187862,0.0006756756756756757,-0.0034527221775121865,5.0150782630149795,0.0074110467559038076
NeuralNet,EOD,0.007174225756374624,0.001625697481526165,-0.005548528274848459,2.1988791228770586,0.0927685323053295
NeuralNet,accuracy,0.8089629629629629,0.8124444444444444,0.00348148148148153,-2.2352459750201725,0.08909056939572545
RandomForest,DPD,0.0034392934000193566,0.0,-0.0034392934000193566,4.255375888827378,0.013101786573678737
RandomForest,EOD,0.007019389798595496,0.0,-0.007019389798595496,6.790631608750224,0.0024558041493470714
RandomForest,accuracy,0.8091481481481482,0.8125925925925926,0.003444444444444472,-6.85605096120273,0.0023694099120452903
